ORDER #,QUANTITY_ORDERED,PRICE,DISCOUNT,ORDER_NUMBER,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCT,?CUSTOMER NAME,PHONE,ADDRESS,CITY_COUNTRY,STATE,DEAL_SIZE,LAST NAME CONTACT,FIRST NAME CONTACT
10270,21,100,23,9,Shipped,3,7,2004,Classic Cars,Souveniers And Things Co,+61 2 9495 8555,Level 6,"Chatswood, Australia",NSW,Medium,Huxley,Adrian
10280,34,100,27,2,Shipped,3,8,2004,Classic Cars,Amica Models & Co,114988555,,"Torino, Italy",,Large,Accorti,Paolo
10291,37,100,16,11,Shipped,3,9,2004,Classic Cars,Scandinavian Gift Ideas,069534 6555,,"Boras, Sweden",,Large,Larsson,Maria
10304,47,100,11,6,Shipped,4,10,2004,Classic Cars,Auto Assoc & Cie,30598555,,"Versailles, France",,Large,Tonini,Daniel
10312,48,100,8,3,Shipped,4,10,2004,Classic Cars,Mini Gifts Distributors Ltd,4155551450,,"San Rafael, USA",CA,Large,Nelson,Valarie
10322,40,100,23,1,Shipped,4,11,2004,Classic Cars,Online Diecast Creations Co,6035558647,,"Nashua, USA",NH,Medium,Young,Valarie
10333,26,100,11,3,Shipped,4,11,2004,Classic Cars,Mini Wheels Co,6505555787,,"San Francisco, USA",CA,Medium,Murphy,Julie
10347,30,100,25,1,Shipped,4,11,2004,Classic Cars,Australian Collectors Co,03 9520 4555,Level 3,"Melbourne, Australia",Victoria,Medium,Ferguson,Peter
10357,32,100,19,10,Shipped,4,12,2004,Classic Cars,Mini Gifts Distributors Ltd,4155551450,,"San Rafael, USA",CA,Medium,Nelson,Valarie
10369,41,100,6,2,Shipped,1,1,2005,Classic Cars,Collectables For Less Inc,6175558555,,"Brickhaven, USA",MA,Medium,Nelson,Allen
10381,36,100,27,3,Shipped,1,2,2005,Classic Cars,Corporate Gift Ideas Co,6505551386,,"San Francisco, USA",CA,Large,Brown,Julie
10391,24,100,5,4,Shipped,1,3,2005,Classic Cars,"Anna""s Decorations Ltd",02 9936 8555,Level 15,"North Sydney, Australia",NSW,Small,"O""Hara",Anna
10411,23,100,15,9,Shipped,2,5,2005,Classic Cars,Quebec Home Shopping Network,514 5558054,,"Montreal, Canada",Quebec,Medium,Fresnisre,Jean
10424,50,100,27,6,In Process,2,5,2005,Classic Cars,Euro Shopping Channel,91 555 94 44,,"Madrid, Spain",,Large,Freyre,Diego
10107,39,9991,14,5,Shipped,1,2,2003,Motorcycles,Land of Toys Inc,2125557818,,"NYC, USA",NY,Medium,Yu,Kwai
10120,29,9634,7,3,Shipped,2,4,2003,Motorcycles,Australian Collectors Co,03 9520 4555,Level 3,"Melbourne, Australia",Victoria,Small,Ferguson,Peter
10134,27,100,26,5,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,+33 1 46 62 7555,,"Paris, France",,Medium,Da Cunha,Daniel
10145,37,100,25,9,Shipped,3,8,2003,Motorcycles,Toys4GrownUpscom,6265557265,,"Pasadena, USA",CA,Medium,Young,Julie
10159,37,100,6,17,Shipped,4,10,2003,Motorcycles,Corporate Gift Ideas Co,6505551386,,"San Francisco, USA",CA,Medium,Brown,Julie
10168,27,100,14,4,Shipped,4,10,2003,Motorcycles,Technics Stores Inc,6505556809,,"Burlingame, USA",CA,Medium,Hirano,Juri
10180,42,100,27,12,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,20161555,,"Lille, France",,Medium,Rance,Martine
10188,38,9634,5,4,Shipped,4,11,2003,Motorcycles,Herkku Gifts,+47 2267 3215,,"Bergen, Norway",,Medium,Oeztan,Veysel
10201,24,100,20,5,Shipped,4,12,2003,Motorcycles,Mini Wheels Co,6505555787,,"San Francisco, USA",CA,Medium,Murphy,Julie
10210,23,100,10,2,Shipped,1,1,2004,Motorcycles,Osaka Souveniers Co,+81 06 6342 5555,,"Osaka, Japan",Osaka,Medium,Kentary,Mory
10223,47,100,26,4,Shipped,1,2,2004,Motorcycles,Australian Collectors Co,03 9520 4555,Level 3,"Melbourne, Australia",Victoria,Medium,Ferguson,Peter
10236,22,100,11,1,Shipped,2,4,2004,Motorcycles,Motor Mint Distributors Inc,2155559857,,"Philadelphia, USA",PA,Small,Hernandez,Rosa
10251,44,100,6,5,Shipped,2,5,2004,Motorcycles,Tekni Collectables Inc,2015559350,,"Newark, USA",NJ,Medium,Brown,William
10263,40,100,30,5,Shipped,2,6,2004,Motorcycles,Gift Depot Inc,2035552570,,"Bridgewater, USA",CT,Medium,King,Julie
10275,22,100,13,4,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,40678555,,"Nantes, France",,Small,Labrune,Janine
10285,47,100,,9,Shipped,3,8,2004,Motorcycles,"Marta""s Replicas Co",6175558555,,"Cambridge, USA",MA,Medium,Hernandez,Marta
10298,39,9634,,1,Shipped,3,9,2004,Motorcycles,Atelier graphique,40322555,,"Nantes, France",,Medium,Schmitt,Carine
10308,34,100,,2,Shipped,4,10,2004,Motorcycles,Mini Classics,9145554562,,"White Plains, USA",NY,Medium,Frick,Steve
10318,45,100,,4,Shipped,4,11,2004,Motorcycles,Diecast Classics Inc,2155551555,,"Allentown, USA",PA,Medium,Yu,Kyung
10329,20,100,,2,Shipped,4,11,2004,Motorcycles,Land of Toys Inc,2125557818,,"NYC, USA",NY,Medium,Yu,Kwai
10339,40,6892,,4,Shipped,4,11,2004,Motorcycles,Tokyo Collectables Ltd,+81 3 3584 0555,,"Minatoku, Japan",Tokyo,Small,Shimamura,Akiko
10361,26,5115,No discount,8,Shipped,4,12,2004,Motorcycles,Souveniers And Things Co,+61 2 9495 8555,Level 6,"Chatswood, Australia",NSW,Small,Huxley,Adrian
10374,39,100,,5,Shipped,1,2,2005,Motorcycles,Australian Gift Network Co,61738446555,,"South Brisbane, Australia",Queensland,Medium,Calaghan,Tony
10388,50,4451,,5,Shipped,1,3,2005,Motorcycles,FunGiftIdeascom,5085552555,,"New Bedford, USA",MA,Small,Benitez,Violeta
10402,45,100,,1,Shipped,2,4,2005,Motorcycles,Auto Canal Petit,1 47556555,,"Paris, France",,Medium,Perrier,Dominique
10417,45,100,,5,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,91 555 94 44,,"Madrid, Spain",,Medium,Freyre,Diego
10107,27,100,,4,Shipped,1,2,2003,Motorcycles,Land of Toys Inc,2125557818,,"NYC, USA",NY,Medium,Yu,Kwai
10120,46,100,No discount,2,Shipped,2,4,2003,Motorcycles,Australian Collectors Co,03 9520 4555,Level 3,"Melbourne, Australia",Victoria,Large,Ferguson,Peter
10134,31,100,,4,Shipped,3,7,2003,Motorcycles,Lyon Souveniers,+33 1 46 62 7555,,"Paris, France",,Large,Da Cunha,Daniel
10145,33,100,26,8,Shipped,3,8,2003,Motorcycles,Toys4GrownUpscom,6265557265,,"Pasadena, USA",CA,Medium,Young,Julie
10159,22,100,16,16,Shipped,4,10,2003,Motorcycles,Corporate Gift Ideas Co,6505551386,,"San Francisco, USA",CA,Medium,Brown,Julie
10168,20,100,25,3,Shipped,4,10,2003,Motorcycles,Technics Stores Inc,6505556809,,"Burlingame, USA",CA,Medium,Hirano,Juri
10180,41,100,25,11,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,20161555,,"Lille, France",,Large,Rance,Martine
10188,45,100,25,3,Shipped,4,11,2003,Motorcycles,Herkku Gifts,+47 2267 3215,,"Bergen, Norway",,Large,Oeztan,Veysel
10201,49,100,12,4,Shipped,4,12,2003,Motorcycles,Mini Wheels Co,6505555787,,"San Francisco, USA",CA,Large,Murphy,Julie
10210,34,100,15,1,Shipped,1,1,2004,Motorcycles,Osaka Souveniers Co,+81 06 6342 5555,,"Osaka, Japan",Osaka,Medium,Kentary,Mory
10223,49,100,29,3,Shipped,1,2,2004,Motorcycles,Australian Collectors Co,03 9520 4555,Level 3,"Melbourne, Australia",Victoria,Large,Ferguson,Peter
10237,39,100,26,9,Shipped,2,4,2004,Motorcycles,Vitachrome Inc,2125551500,Suite 101,"NYC, USA",NY,Large,Frick,Michael
10251,43,100,28,4,Shipped,2,5,2004,Motorcycles,Tekni Collectables Inc,2015559350,,"Newark, USA",NJ,Large,Brown,William
10263,41,100,18,4,Shipped,2,6,2004,Motorcycles,Gift Depot Inc,2035552570,,"Bridgewater, USA",CT,Large,King,Julie
10275,36,100,10,3,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,40678555,,"Nantes, France",,Medium,Labrune,Janine
10285,27,100,5,8,Shipped,3,8,2004,Motorcycles,"Marta""s Replicas Co",6175558555,,"Cambridge, USA",MA,Medium,Hernandez,Marta
10299,29,100,25,11,Shipped,3,9,2004,Motorcycles,Toys of Finland Co,90224 8555,,"Helsinki, Finland",,Medium,Karttunen,Matti
10308,20,100,19,1,Shipped,4,10,2004,Motorcycles,Mini Classics,9145554562,,"White Plains, USA",NY,Medium,Frick,Steve
10318,37,100,13,3,Shipped,4,11,2004,Motorcycles,Diecast Classics Inc,2155551555,,"Allentown, USA",PA,Large,Yu,Kyung
10329,26,100,29,3,Shipped,4,11,2004,Motorcycles,Land of Toys Inc,2125557818,,"NYC, USA",NY,Medium,Yu,Kwai
10339,39,7667,26,3,Shipped,4,11,2004,Motorcycles,Tokyo Collectables Ltd,+81 3 3584 0555,,"Minatoku, Japan",Tokyo,Small,Shimamura,Akiko
10362,22,100,14,4,Shipped,1,1,2005,Motorcycles,Technics Stores Inc,6505556809,,"Burlingame, USA",CA,Medium,Hirano,Juri
10374,22,100,26,1,Shipped,1,2,2005,Motorcycles,Australian Gift Network Co,61738446555,,"South Brisbane, Australia",Queensland,Medium,Calaghan,Tony
10388,21,8677,29,7,Shipped,1,3,2005,Motorcycles,FunGiftIdeascom,5085552555,,"New Bedford, USA",MA,Small,Benitez,Violeta
10403,66,100,30,9,Shipped,2,4,2005,Motorcycles,UK Collectables Ltd,171 5552282,,"Liverpool, UK",,Large,Devon,Elizabeth
10417,56,100,27,4,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,91 555 94 44,,"Madrid, Spain",,Large,Freyre,Diego
10105,50,100,14,2,Shipped,1,2,2003,Classic Cars,Danish Wholesale Imports,31 12 3555,,"Kobenhavn, Denmark",,Large,Petersen,Jytte
10119,46,100,28,11,Shipped,2,4,2003,Classic Cars,Salzburg Collectables,65629555,,"Salzburg, Austria",,Medium,Pipps,Georg
10129,33,100,22,2,Shipped,2,6,2003,Classic Cars,Stylish Desk Decors Co,171 5550297,,"London, UK",,Medium,Brown,Ann
10143,49,100,16,15,Shipped,3,8,2003,Classic Cars,Mini Creations Ltd,5085559555,,"New Bedford, USA",MA,Medium,Tam,Wing C
10155,32,100,21,13,Shipped,4,10,2003,Classic Cars,Toys of Finland Co,90224 8555,,"Helsinki, Finland",,Medium,Karttunen,Matti
10167,44,100,13,9,Cancelled,4,10,2003,Classic Cars,Scandinavian Gift Ideas,069534 6555,,"Boras, Sweden",,Medium,Larsson,Maria
10178,24,100,14,12,Shipped,4,11,2003,Classic Cars,Alpha Cognac,61776555,,"Toulouse, France",,Medium,Roulet,Annette
10186,26,100,7,9,Shipped,4,11,2003,Classic Cars,Double Decker Gift Stores Ltd,171 5557555,,"London, UK",,Medium,Hardy,Thomas
10197,45,100,18,6,Shipped,4,11,2003,Classic Cars,Enaco Distributors,93 203 4555,,"Barcelona, Spain",,Medium,Saavedra,Eduardo
10209,39,100,28,8,Shipped,1,1,2004,Classic Cars,"Men ""R"" US Retailers Ltd",2155554369,,"Los Angeles, USA",CA,Medium,Chandler,Michael
10222,49,100,18,12,Shipped,1,2,2004,Classic Cars,Collectable Mini Designs Co,7605558146,,"San Diego, USA",CA,Medium,Thompson,Valarie
10248,20,100,28,3,Cancelled,2,5,2004,Classic Cars,Land of Toys Inc,2125557818,,"NYC, USA",NY,Small,Yu,Kwai
10261,27,100,6,1,Shipped,2,6,2004,Classic Cars,Quebec Home Shopping Network,514 5558054,,"Montreal, Canada",Quebec,Medium,Fresnisre,Jean
10273,30,100,30,4,Shipped,3,7,2004,Classic Cars,Petit Auto,02 5554 67,,"Bruxelles, Belgium",,Medium,Dewey,Catherine
10283,25,100,13,6,Shipped,3,8,2004,Classic Cars,Royal Canadian Collectables Ltd,604 5554555,,"Tsawassen, Canada",BC,Small,Lincoln,Elizabeth
10295,24,100,6,1,Shipped,3,9,2004,Classic Cars,Gifts4AllAgescom,6175559555,,"Boston, USA",MA,Medium,Yoshido,Juri
10307,22,100,13,9,Shipped,4,10,2004,Classic Cars,Classic Gift Ideas Inc,2155554695,,"Philadelphia, USA",PA,Small,Cervantes,Francisca
10316,33,100,5,17,Shipped,4,11,2004,Classic Cars,giftsbymailcouk,198 5558888,,"Cowes, UK",Isle of Wight,Medium,Bennett,Helen
10325,47,6493,29,6,Shipped,4,11,2004,Classic Cars,Baane Mini Imports,0798 9555,,"Stavern, Norway",,Medium,Bergulfsen,Jonas
10337,25,4805,16,8,Shipped,4,11,2004,Classic Cars,Classic Legends Inc,2125558493,Suite 750,"NYC, USA",NY,Small,Hernandez,Maria
10350,26,7547,14,5,Shipped,4,12,2004,Classic Cars,Euro Shopping Channel,91 555 94 44,,"Madrid, Spain",,Small,Freyre,Diego
10359,48,5468,12,6,Shipped,4,12,2004,Classic Cars,Reims Collectables,26471555,,"Reims, France",,Small,Henriot,Paul
10373,39,100,24,3,Shipped,1,1,2005,Classic Cars,Oulu Toy Supplies Inc,981443655,,"Oulu, Finland",,Medium,Koskitalo,Pirkko
10384,34,100,7,4,Shipped,1,2,2005,Classic Cars,Corporate Gift Ideas Co,6505551386,,"San Francisco, USA",CA,Medium,Brown,Julie
10395,32,100,5,2,Shipped,1,3,2005,Classic Cars,Lyon Souveniers,+33 1 46 62 7555,,"Paris, France",,Medium,Da Cunha,Daniel
10400,64,100,20,9,Shipped,2,4,2005,Classic Cars,The Sharp Gifts Warehouse,4085553659,,"San Jose, USA",CA,Large,Frick,Sue
10414,19,100,23,3,On Hold,2,5,2005,Classic Cars,Gifts4AllAgescom,6175559555,,"Boston, USA",MA,Small,Yoshido,Juri
10103,42,100,21,4,Shipped,1,1,2003,Classic Cars,Baane Mini Imports,0798 9555,,"Stavern, Norway",,Medium,Bergulfsen,Jonas
10114,31,100,10,8,Shipped,2,4,2003,Classic Cars,"La Corne D""abondance Co",1 42342555,,"Paris, France",,Medium,Bertrand,Marie
10126,22,100,19,4,Shipped,2,5,2003,Classic Cars,Corrida Auto Replicas Ltd,91 555 22 82,,"Madrid, Spain",,Medium,Sommer,Martn
10140,26,100,11,4,Shipped,3,7,2003,Classic Cars,Technics Stores Inc,6505556809,,"Burlingame, USA",CA,Medium,Hirano,Juri
10150,20,100,5,1,Shipped,3,9,2003,Classic Cars,Dragon Souveniers Ltd,+65 221 7555,,"Singapore, Singapore",,Medium,Natividad,Eric
10164,21,100,17,2,Resolved,4,10,2003,Classic Cars,Mini Auto Werke,76753555,,"Graz, Austria",,Medium,Mendel,Roland
10175,33,100,28,9,Shipped,4,11,2003,Classic Cars,Stylish Desk Decors Co,171 5550297,,"London, UK",,Medium,Brown,Ann
10183,28,100,30,1,Shipped,4,11,2003,Classic Cars,Classic Gift Ideas Inc,2155554695,,"Philadelphia, USA",PA,Medium,Cervantes,Francisca
10194,26,100,8,4,Shipped,4,11,2003,Classic Cars,Saveley & Henriot Co,78325555,,"Lyon, France",,Medium,Saveley,Mary
10207,31,100,8,15,Shipped,4,12,2003,Classic Cars,Diecast Collectables,6175552555,,"Boston, USA",MA,Medium,Franco,Valarie
10217,48,100,5,4,Shipped,1,2,2004,Classic Cars,Handji Gifts& Co,+65 224 1555,2nd Floor,"Singapore, Singapore",,Large,Victorino,Wendy
10229,50,100,29,9,Shipped,1,3,2004,Classic Cars,Mini Gifts Distributors Ltd,4155551450,,"San Rafael, USA",CA,Medium,Nelson,Valarie
10245,28,100,5,2,Shipped,2,5,2004,Classic Cars,Super Scale Inc,2035559545,,"New Haven, USA",CT,Medium,Murphy,Leslie
10259,26,100,22,12,Shipped,2,6,2004,Classic Cars,Handji Gifts& Co,+65 224 1555,2nd Floor,"Singapore, Singapore",,Medium,Victorino,Wendy
10270,32,100,9,2,Shipped,3,7,2004,Classic Cars,Souveniers And Things Co,+61 2 9495 8555,Level 6,"Chatswood, Australia",NSW,Medium,Huxley,Adrian
10281,44,100,26,9,Shipped,3,8,2004,Classic Cars,Diecast Classics Inc,2155551555,,"Allentown, USA",PA,Large,Yu,Kyung
10291,30,100,16,4,Shipped,3,9,2004,Classic Cars,Scandinavian Gift Ideas,069534 6555,,"Boras, Sweden",,Medium,Larsson,Maria
10305,38,100,23,13,Shipped,4,10,2004,Classic Cars,"Marta""s Replicas Co",6175558555,,"Cambridge, USA",MA,Medium,Hernandez,Marta
10313,40,100,19,7,Shipped,4,10,2004,Classic Cars,Canadian Gift Exchange Network,604 5553392,,"Vancouver, Canada",BC,Medium,Tannamuri,Yoshi
10322,46,6199,7,8,Shipped,4,11,2004,Classic Cars,Online Diecast Creations Co,6035558647,,"Nashua, USA",NH,Small,Young,Valarie
10334,26,100,13,2,On Hold,4,11,2004,Classic Cars,Volvo Model Replicas Co,092112 3555,,"Lule, Sweden",,Medium,Berglund,Christina
10347,27,100,8,2,Shipped,4,11,2004,Classic Cars,Australian Collectors Co,03 9520 4555,Level 3,"Melbourne, Australia",Victoria,Medium,Ferguson,Peter
10357,43,100,12,9,Shipped,4,12,2004,Classic Cars,Mini Gifts Distributors Ltd,4155551450,,"San Rafael, USA",CA,Medium,Nelson,Valarie
10370,35,6563,18,4,Shipped,1,1,2005,Classic Cars,"Anna""s Decorations Ltd",02 9936 8555,Level 15,"North Sydney, Australia",NSW,Small,"O""Hara",Anna
10381,37,100,25,6,Shipped,1,2,2005,Classic Cars,Corporate Gift Ideas Co,6505551386,,"San Francisco, USA",CA,Medium,Brown,Julie
10391,37,469,5,7,Shipped,1,3,2005,Classic Cars,"Anna""s Decorations Ltd",02 9936 8555,Level 15,"North Sydney, Australia",NSW,Small,"O""Hara",Anna
10411,27,100,6,2,Shipped,2,5,2005,Classic Cars,Quebec Home Shopping Network,514 5558054,,"Montreal, Canada",Quebec,Medium,Fresnisre,Jean
10425,38,100,25,12,In Process,2,5,2005,Classic Cars,La Rochelle Gifts,40678555,,"Nantes, France",,Medium,Labrune,Janine
10108,33,100,12,6,Shipped,1,3,2003,Classic Cars,Cruz & Sons Co,+63 2 555 3587,,"Makati City, Philippines",,Medium,Cruz,Arnold
10122,42,100,17,10,Shipped,2,5,2003,Classic Cars,Marseille Mini Autos,91244555,,"Marseille, France",,Large,Lebihan,Laurence
10135,42,100,5,7,Shipped,3,7,2003,Classic Cars,Mini Gifts Distributors Ltd,4155551450,,"San Rafael, USA",CA,Large,Nelson,Valarie
10147,48,100,28,7,Shipped,3,9,2003,Classic Cars,Collectables For Less Inc,6175558555,,"Brickhaven, USA",MA,Large,Nelson,Allen
10159,41,100,13,2,Shipped,4,10,2003,Classic Cars,Corporate Gift Ideas Co,6505551386,,"San Francisco, USA",CA,Large,Brown,Julie
10169,30,100,7,2,Shipped,4,11,2003,Classic Cars,"Anna""s Decorations Ltd",02 9936 8555,Level 15,"North Sydney, Australia",NSW,Medium,"O""Hara",Anna
10181,27,100,27,14,Shipped,4,11,2003,Classic Cars,Herkku Gifts,+47 2267 3215,,"Bergen, Norway",,Medium,Oeztan,Veysel
10191,21,100,6,3,Shipped,4,11,2003,Classic Cars,Toms Spezialitten Ltd,2215554327,,"Koln, Germany",,Medium,Pfalzheim,Henriette
10203,20,100,20,8,Shipped,4,12,2003,Classic Cars,Euro Shopping Channel,91 555 94 44,,"Madrid, Spain",,Medium,Freyre,Diego
10211,41,100,6,2,Shipped,1,1,2004,Classic Cars,Auto Canal Petit,1 47556555,,"Paris, France",,Large,Perrier,Dominique
10225,27,100,8,9,Shipped,1,2,2004,Classic Cars,Vida Sport Ltd,897034555,,"Gensve, Switzerland",,Medium,Holz,Michael
10238,28,100,26,3,Shipped,2,4,2004,Classic Cars,Danish Wholesale Imports,31 12 3555,,"Kobenhavn, Denmark",,Medium,Petersen,Jytte
10253,24,100,22,13,Cancelled,2,6,2004,Classic Cars,UK Collectables Ltd,171 5552282,,"Liverpool, UK",,Medium,Devon,Elizabeth
10266,44,100,9,14,Shipped,3,7,2004,Classic Cars,"L""ordine Souveniers",522556555,,"Reggio Emilia, Italy",,Large,Moroni,Maurizio
10276,50,100,6,3,Shipped,3,8,2004,Classic Cars,Online Mini Collectables,6175557555,,"Brickhaven, USA",MA,Large,Barajas,Miguel
10287,21,100,23,12,Shipped,3,8,2004,Classic Cars,Vida Sport Ltd,897034555,,"Gensve, Switzerland",,Medium,Holz,Michael
10300,33,100,23,5,Shipped,4,10,2003,Classic Cars,Blauer See Auto Co,+49 69 66 90 2555,,"Frankfurt, Germany",,Medium,Keitel,Roland
10310,33,100,19,10,Shipped,4,10,2004,Classic Cars,Toms Spezialitten Ltd,2215554327,,"Koln, Germany",,Medium,Pfalzheim,Henriette
10320,31,100,15,3,Shipped,4,11,2004,Classic Cars,Volvo Model Replicas Co,092112 3555,,"Lule, Sweden",,Medium,Berglund,Christina
10329,41,7147,23,5,Shipped,4,11,2004,Classic Cars,Land of Toys Inc,2125557818,,"NYC, USA",NY,Small,Yu,Kwai
10341,45,7965,30,2,Shipped,4,11,2004,Classic Cars,Salzburg Collectables,65629555,,"Salzburg, Austria",,Medium,Pipps,Georg
10363,33,8539,16,3,Shipped,1,1,2005,Classic Cars,Suominen Souveniers,+358 9 8045 555,,"Espoo, Finland",,Small,Suominen,Kalle
